anime_id,title,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,premiered,studio,genre
9566,Umi kara no Shisha,Movie,Unknown,1,Finished Airing,6.27,549,6531.0,8280,998,1,,,"Action, Mecha, Super Power, Sci-Fi"
1597,Panyo Panyo Di Gi Charat,TV,Unknown,48,Finished Airing,6.82,1105,4248.0,5520,3669,13,Winter 2002,Madhouse,Comedy
32627,Shaka no Shougai,Movie,Other,1,Finished Airing,7.0,5,12015.0,13612,71,0,,,Historical
2303,Mobile Suit SD Gundam Mk II,OVA,Unknown,3,Finished Airing,6.43,988,5888.0,6389,2493,1,,Sunrise,"Mecha, Parody, Sci-Fi"
11017,Battle Spirits: Heroes,TV,Card game,50,Finished Airing,6.57,250,5316.0,8043,1130,1,Fall 2011,Sunrise,"Game, Sci-Fi"
25599,Vampiyan Kids Promotion,Special,Original,1,Finished Airing,4.05,22,12608.0,12739,113,0,,Production I.G,"Comedy, Fantasy, Kids"
18029,Hello Kitty no Suteki na Kyoudai,OVA,Unknown,1,Finished Airing,6.5,48,10408.0,11549,175,0,,,"Fantasy, Kids"
2706,Bakusou Kyoudai Let&#039;s & Go WGP,TV,Manga,51,Finished Airing,7.06,1895,3326.0,5814,3192,27,Winter 1997,Xebec,"Cars, Sports, Shounen"
32828,Amaama to Inazuma,TV,Manga,12,Finished Airing,7.57,66234,1420.0,541,149754,519,Summer 2016,TMS Entertainment,"Comedy, Seinen, Slice of Life"
31964,Boku no Hero Academia,TV,Manga,13,Finished Airing,8.44,494037,137.0,27,763973,19712,Spring 2016,Bones,"Action, Comedy, School, Shounen, Super Power"
6794,Kurokami: Tora to Tsubasa,Special,Manga,1,Finished Airing,6.96,2937,3705.0,4234,7169,4,,Sunrise,"Action, Super Power, Martial Arts"
5675,Basquash!,TV,Original,26,Finished Airing,7.33,13886,2298.0,1943,34677,163,Spring 2009,Satelight,"Sports, Mecha, Shounen"
30027,Meisaku World,TV,Unknown,39,Finished Airing,5.86,7,11221.0,13454,78,0,Spring 1988,,"Adventure, Fantasy, Historical, Kids, Magic, Supernatural"
1638,Peter Pan no Bouken,TV,Unknown,41,Finished Airing,6.89,1244,3966.0,6268,2624,7,Winter 1989,Nippon Animation,"Adventure, Fantasy"
2799,Hello! Sandybell,TV,Original,47,Finished Airing,7.12,1716,3122.0,5759,3291,20,Spring 1981,Toei Animation,"Adventure, Romance, Shoujo"
31048,Burenai Ai de,Music,Unknown,1,Finished Airing,6.63,525,5051.0,8365,955,0,,,Music
28885,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV): Heroine Kentei,ONA,Unknown,11,Finished Airing,4.58,19,10961.0,11900,153,0,,,"Fantasy, Comedy"
14829,Fate/kaleid liner Prisma☆Illya,TV,Manga,10,Finished Airing,7.24,62867,2649.0,579,143884,705,Summer 2013,Silver Link.,"Action, Comedy, Magic, Fantasy"
